handle,product_id,cpi,title,status,client_recommendation,errors,warnings
arp-dress-black,S226-8301 KCS049 000001 BLACK,8301-000001,Arp Dress,GO,Upload,,Image overflow: 1 additional rows required
arp-dress-toffee,S226-8301 KCS049 000258 TOFFEE,8301-000258,Arp Dress,GO,Upload (minimal imagery),,
arthur-top-azure-stripe,,,Arthur Top,SKIP,Wholesale only – excluded from DTC,,Wholesale product (WS Buy) – skipped
arthur-top-optic-white,,,Arthur Top,SKIP,Wholesale only – excluded from DTC,,Wholesale product (WS Buy) – skipped
basket-clutch-pale-blush,S226-7157 STS002 000689 PALE BLUSH,7157-000689,Basket Clutch,NO-GO,Hold – ghost image required,Missing ghost image,Image overflow: 1 additional rows required
basket-clutch-tahini-silver,S226-7157 STS007 381182 TAHINI/SILVER,7157-381182,Basket Clutch,NO-GO,Hold – ghost image required,Missing ghost image,
chapman-pant-tahini,S226-6003 AWS016 000182 TAHINI,6003-000182,Chapman Pant,GO,Upload (minimal imagery),,
cherie-dress-storm-petals,S226-3034 BSP024 415067 STORM PETALS,3034-415067,Cherie Dress,GO,Upload,,
chika-top-ivory-allover-petals,S226-4015 BSP024 416102 IVORY ALLOVER PETALS,4015-416102,Chika Top,GO,Upload,,
chika-top-maroon-allover-petals,S226-4015 BSP024 416563 MAROON ALLOVER PETALS,4015-416563,Chika Top,NO-GO,Hold – ghost image required,Missing ghost image,
chika-top-tapioca,S226-4015 BSS033 000172 TAPIOCA,4015-000172,Chika Top,GO,Upload (minimal imagery),,
clay-sweater-black,S226-8807 KCS049 000001 BLACK,8807-000001,Clay Sweater,GO,Upload,,Image overflow: 1 additional rows required
clay-sweater-desert-sage,S226-8807 KCS049 000398 DESERT SAGE,8807-000398,Clay Sweater,GO,Upload (minimal imagery),,
daisy-dress-black-lily,S226-3010 BSP032 414001 BLACK LILY,3010-414001,Daisy Dress,GO,Upload,,
dash-pant-midnight-melange,S226-6007 AIM001 000479 MIDNIGHT MELANGE,6007-000479,Dash Pant,GO,Upload,,
dash-pant-mortar-melange,S226-6007 AIQ003 000147 MORTAR MELANGE,6007-000147,Dash Pant,GO,Upload (minimal imagery),,
dora-dress-ivory,S226-3007 BYS084 000102 IVORY,3007-000102,Dora Dress,NO-GO,Hold – ghost image required,Missing ghost image,
erik-top-black,S226-8401 KYS078 000001 BLACK,8401-000001,Erik Top,GO,Upload (minimal imagery),,
erik-top-ivory,,,Erik Top,SKIP,Wholesale only – excluded from DTC,,Wholesale product (WS Buy) – skipped
fenice-jacket-midnight-melange,S226-2003 AIM001 000479 MIDNIGHT MELANGE,2003-000479,Fenice Jacket,NO-GO,Hold – ghost image required,Missing ghost image,
fenice-jacket-mortar-melange,S226-2003 AIQ003 000147 MORTAR MELANGE,2003-000147,Fenice Jacket,GO,Upload (minimal imagery),,
fenice-jacket-tahini-melange,S226-2003 AWQ015 000182 TAHINI MELANGE,2003-000182,Fenice Jacket,GO,Upload,,
floyd-dress-azure-stripe,S226-3008 SCQ015 374484 AZURE STRIPE,3008-374484,Floyd Dress,GO,Upload,,
fossett-pant-midnight-melange,S226-6014 AIM001 000479 MIDNIGHT MELANGE,6014-000479,Fossett Pant,NO-GO,Hold – ghost image required,Missing ghost image,
fossett-pant-mortar-melange,S226-6014 AIQ003 000147 MORTAR MELANGE,6014-000147,Fossett Pant,GO,Upload (minimal imagery),,
fossett-pant-tahini-melange,S226-6014 AWQ015 000182 TAHINI MELANGE,6014-000182,Fossett Pant,GO,Upload,,
hoffman-jacket-tahini,,,Hoffman Jacket,SKIP,Wholesale only – excluded from DTC,,Wholesale product (WS Buy) – skipped
kiera-dress-maroon-allover-petals,S226-3019 BSP024 416563 MAROON ALLOVER PETALS,3019-416563,Kiera Dress,GO,Upload (minimal imagery),,
kirsty-dress-storm-allover-petals,S226-3035 BSP024 416067 STORM ALLOVER PETALS,3035-416067,Kirsty Dress,GO,Upload,,
knot-basket-crossbody-black-silver,S226-7159 STS007 381001 BLACK/SILVER,7159-381001,Knot Basket Crossbody,NO-GO,Hold – ghost image required,Missing ghost image,
knot-basket-large-macademia,,,Knot Basket Large,SKIP,Wholesale only – excluded from DTC,,Wholesale product (WS Buy) – skipped
knot-basket-small-black-silver,S226-7155 STS007 381001 BLACK/SILVER,7155-381001,Knot Basket Small,NO-GO,Hold – ghost image required,Missing ghost image,
knot-basket-small-long-handle-danube,S226-7165 STS002 000414 DANUBE,7165-000414,Knot Basket Small Long Handle,NO-GO,Hold – ghost image required,Missing ghost image,Image overflow: 1 additional rows required
knot-basket-small-long-handle-mouton,,,Knot Basket Small Long Handle,SKIP,Wholesale only – excluded from DTC,,Wholesale product (WS Buy) – skipped
linnie-skirt-ivory-petals,S226-5017 SCP015 416102 IVORY PETALS,5017-416102,Linnie Skirt,GO,Upload,,
loquette-flap-bag-black,S226-7168 LLS061 000001 BLACK,7168-000001,Loquette Flap Bag,NO-GO,Hold – ghost image required,Missing ghost image,Image overflow: 1 additional rows required
loquette-flap-bag-python,S226-7168 ELP013 000907 PYTHON,7168-000907,Loquette Flap Bag,NO-GO,Hold – ghost image required,Missing ghost image,Image overflow: 1 additional rows required
lydia-dress-ivory-allover-petals,S226-3001 SCP015 416102 IVORY ALLOVER PETALS,3001-416102,Lydia Dress,GO,Upload (minimal imagery),,
maddox-sweater-black,S226-8808 KCS049 000001 BLACK,8808-000001,Maddox Sweater,GO,Upload (minimal imagery),,
maddox-sweater-toffee,S226-8808 KCS049 000258 TOFFEE,8808-000258,Maddox Sweater,GO,Upload (minimal imagery),,
magee-top-storm-petals,S226-4013 BSP024 416067 STORM PETALS,4013-416067,Magee Top,GO,Upload,,
margot-top-indigo,S226-4010 DCS021 000403 INDIGO,4010-000403,Margot Top,GO,Upload,,
monti-skirt-storm-petals,S226-5003 BYP050 416067 STORM PETALS,5003-416067,Monti Skirt,GO,Upload,,
nadja-dress-pale-blush-petals,S226-3024 SCP015 416689 PALE BLUSH PETALS,3024-416689,Nadja Dress,GO,Upload,,
noori-dress-storm-tulip,S226-3030 BSP024 413067 STORM TULIP,3030-413067,Noori Dress,GO,Upload,,
orrie-dress-navy,S226-3022 AIS005 000400 NAVY,3022-000400,Orrie Dress,GO,Upload (minimal imagery),,
paulina-dress-pale-blush-ao-petals,S226-3004 SCP015 416689 PALE BLUSH AO PETALS,3004-416689,Paulina Dress,NO-GO,Hold – ghost image required,Missing ghost image,
penrose-dress-ivory,S226-8308 KYS078 000102 IVORY,8308-000102,Penrose Dress,GO,Upload (minimal imagery),,
siggi-top-ivory-allover-petals,S226-4016 SCP015 416102 IVORY ALLOVER PETALS,4016-416102,Siggi Top,GO,Upload,,Image overflow: 1 additional rows required
wells-dress-berry-blue,,,Wells Dress,SKIP,Wholesale only – excluded from DTC,,Wholesale product (WS Buy) – skipped
wells-dress-pale-blush,S226-8309 KYS078 000689 PALE BLUSH,8309-000689,Wells Dress,GO,Upload,,
winnie-dress-black,S226-8307 KYS081 000001 BLACK,8307-000001,Winnie Dress,GO,Upload,,Image overflow: 2 additional rows required
winnie-dress-holly-red,S226-8307 KYS081 000649 HOLLY RED,8307-000649,Winnie Dress,GO,Upload (minimal imagery),,
